Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431363,1257481148,210018620.7,1043931594,0,683253.228,132736702.7,0.281170991,0,0,1969558248,0,2.14E-09,0,100,25,47%
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907586,1018105649,1842365671,456436265.9,0,298737.5361,92130730.77,0.195156941,0,0,1969558248,0,1.05E-09,0,100,25,77%
-41.7824,145.434,AUS.TAS.336113,26488,33000,17000,5000,1000,2790549828,798848559.4,1263699696,728001572.7,0,476477.0293,127435535.8,0.269941736,0,0,1969558248,0,1.81E-09,0,100,25,63%
-37.6078,142.6124,AUS.VIC.467811,35598,14000,17000,8000,1239,2814945167,1435642155,482746680.6,896556331.4,0,586796.1189,133554649.3,0.282903616,0,0,1969558248,0,2.18E-09,0,100,25,54%
-20.9168,116.8861,AUS.WA.333298,18845,28000,17000,5000,1004,3003817917,1116863189,1293654749,593299978.8,0,388314.8362,103136169.2,0.218469333,0,0,1969558248,0,1.21E-09,0,100,25,70%
-21.545,140.497,AUS.QLD.335859,16651,34000,17000,5000,6796,3290693026,958300194.1,1802026808,530366023.9,0,347124.5626,101151343.4,0.214264954,0,0,1969558248,0,1.43E-09,0,100,25,73%
-19.474,139.3889,AUS.QLD.335937,17956,30000,17000,5000,1066,3102335648,1017837207,1488384841,596113599.6,0,390156.3509,104833661.4,0.222065065,0,0,1969558248,0,1.32E-09,0,100,25,70%
-21.2785,140.5052,AUS.QLD.335949,21227,6000,17000,9000,1783,2548540101,1231364883,353953104.5,963222112.9,0,630428.8729,123142389.7,0.260847731,0,0,1969558248,0,2.73E-09,0,100,25,51%
-31.1637,121.0857,AUS.WA.335026,22555,6000,17000,8000,1704,2552877333,1203398013,410107162.3,939372158.1,0,614819.0775,123010503,0.260568361,0,0,1969558248,0,3.04E-09,0,100,25,52%
-23.432,117.9,AUS.WA.335066,18735,28000,17000,5000,1001,2975796145,1061447820,1260413030,653935295.9,0,428000.6512,109424085.3,0.231788781,0,0,1969558248,0,1.82E-09,0,100,25,67%
-32.7509,116.3581,AUS.WA.335111,17040,31000,17000,6000,2720,3363222329,850615362,2041420576,471186390.7,0,308391.4927,93109118.36,0.197229422,0,0,1969558248,0,1.23E-09,0,100,25,76%
-21.6784,140.4744,AUS.QLD.335458,16850,34000,17000,5000,5952,3299311226,968911934.9,1802026808,528372483,0,345819.7901,100999184.7,0.213942642,0,0,1969558248,0,1.59E-09,0,100,25,73%
-20.625,140.6885,AUS.QLD.335574,22554,6000,17000,9000,1818,2608965960,1300246722,339794379.7,968924857.6,0,634161.3193,124081017.2,0.262835989,0,0,1969558248,0,3.37E-09,0,100,25,51%
-20.7406,139.9112,AUS.QLD.335769,17042,31000,17000,5000,4856,3158215076,975507640.9,1603187603,579519831.8,0,379295.7299,103747730.2,0.219764779,0,0,1969558248,0,1.14E-09,0,100,25,71%
-31.9665,141.465,AUS.NSW.335554,22926,6000,17000,9000,1815,2561623582,1237095762,370300597.9,954227222,0,624541.7168,124586076.3,0.263905836,0,0,1969558248,0,2.90E-09,0,100,25,52%
-32.0637,146.3085,AUS.NSW.335658,16530,34000,17000,5000,7019,3097665743,844297575.3,1680933383,572434784.3,0,374658.5663,106175676.5,0.224907803,0,0,1969558248,0,1.80E-09,0,100,25,71%
-33.4574,148.9957,AUS.NSW.335835,24838,24000,17000,5000,1755,2599589445,1134584262,561956762.5,903048421.2,0,591045.1917,134892275.2,0.285737057,0,0,1969558248,0,2.68E-09,0,100,25,54%
-29.72,135.5749,AUS.SA.333675,17883,31000,17000,5000,7098,3333215666,989659885.2,1815379185,528176595.9,0,345691.582,98683506.3,0.209037431,0,0,1969558248,0,1.09E-09,0,100,25,73%
-31.1051,137.1544,AUS.SA.335512,23013,6000,17000,9000,1669,2586907175,1263441604,370730833.2,952734737.1,0,623564.8854,124067605.8,0.262807581,0,0,1969558248,0,1.96E-09,0,100,25,52%
-30.4374,136.8893,AUS.SA.335647,22527,6000,17000,9000,1696,2561508603,1241949862,359224935.7,960333805.3,0,628538.4755,124371287.2,0.263450857,0,0,1969558248,0,2.61E-09,0,100,25,51%
