Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-31.5303,146.6862,AUS.NSW.529220,18448,31000,17000,6000,5544,3015452206,956151286.3,1435701755,623599164.7,-93547.55705,408145.6533,109911974.9,0.232822258,4450,0,1969558248,15098582.25,1.46E-09,0,100,25,68%
-28.4868,122.2385,AUS.WA.334147,16567,34000,17000,5000,5876,3487023669,927422719.3,2141045639,418555311,-79578.0735,273944.4511,89775678.29,0.190168325,2800,0,1969558248,7363211.817,7.96E-10,0,100,25,79%
-28.409,121.1478,AUS.WA.334181,22394,7000,17000,9000,1905,2629623335,1267953359,477795177,883874798.1,-37293.70208,578496.0553,119111479.9,0.252309212,6700,0,1969558248,10038435.24,2.21E-09,0,100,25,55%
-30.9106,121.7167,AUS.WA.334445,22396,6000,17000,8000,1602,2558824898,1208657669,411791973.9,938375255,-31024.24535,614166.6044,122678873.5,0.259865883,7350,0,1969558248,9074204.919,1.34E-09,0,100,25,52%
-41.603,145.6999,AUS.TAS.333591,32756,15000,17000,6000,1319,2473571828,1069027266,360395194.3,1044149367,-30625.09333,683395.7607,148065779.3,0.313641977,13025,0,1969558248,13661896.62,2.31E-09,0,100,25,47%
-41.477,145.385,AUS.TAS.333707,31287,28000,17000,5000,1000,2543060564,1002812006,630540399.4,909708158.8,-21970.7554,595403.9899,144991935.3,0.307130773,10525,0,1969558248,8323444.612,1.23E-09,0,100,25,54%
-41.7723,145.5431,AUS.TAS.333876,50000,31000,17000,5000,10000,3395260268,1516460148,1198187321,680612798.5,-104562.7044,445461.0766,132430204.7,0.280521748,3925,0,1969558248,11955387.18,1.30E-09,0,100,25,65%
-20.4447,140.7058,AUS.QLD.334994,21131,7000,17000,8000,1873,2555879941,1209814768,395754396.6,950310776.2,-41695.99609,621978.4031,122938975.7,0.260416847,7575,0,1969558248,12328756.39,1.94E-09,0,100,25,52%
-20.2545,140.1558,AUS.QLD.335006,23648,7000,17000,9000,1960,2679523352,1348033002,394219550.8,937270798.7,-43077.45636,613443.7377,123007968.4,0.260562992,7475,0,1969558248,12049604.86,2.31E-09,0,100,25,52%
-20.5636,139.9752,AUS.QLD.335227,17392,31000,17000,5000,3883,3173744286,992140828.8,1603187603,578415853.9,-91640.80176,378573.1764,103715165.8,0.219695799,4975,0,1969558248,16201305.66,1.00E-09,0,100,25,71%
-31.1785,121.6775,AUS.WA.334537,15715,33000,17000,5000,1846,3369263434,842705219.7,2064780329,461777885.1,-43115.91491,302233.6258,93630473.79,0.198333788,4175,0,1969558248,6162786.412,8.87E-10,0,100,25,77%
-21.147,119.2055,AUS.WA.334568,19471,25000,17000,5000,1000,3012366407,1135954955,1251386743,625024709.2,-21512.81555,409078.6722,103599552.4,0.2194509,4075,0,1969558248,3207581.568,7.28E-10,0,100,25,68%
-24.6431,118.5873,AUS.WA.334629,22668,6000,17000,9000,1838,2600154902,1306453038,354245468.1,939456395.4,-36621.02093,614874.2108,122358988,0.259188282,6875,0,1969558248,9687996.373,1.61E-09,0,100,25,52%
-21.6549,121.5709,AUS.WA.335579,18462,31000,17000,5000,1000,3180313183,1055741205,1592819833,531752144.7,-21546.78896,348031.7787,99110934.76,0.209942836,3925,0,1969558248,3030068.915,7.50E-10,0,100,25,73%
-22.1991,122.3141,AUS.WA.335631,25128,9000,17000,5000,2444,2779178476,1440392397,488239449.4,850546629.6,-51696.82857,556682.7691,117431557.6,0.248750698,5400,0,1969558248,11642017.26,1.83E-09,0,100,25,57%
-29.1785,116.9774,AUS.WA.335652,16609,30000,17000,6000,3424,3260575728,941091626.3,1813930081,505554021,-72329.28793,330885.1067,95715507.43,0.202750434,3725,0,1969558248,9634547.952,1.07E-09,0,100,25,74%
-31.1778,121.6783,AUS.WA.652961,15715,33000,17000,5000,1846,3369263434,842705219.7,2064780329,461777885.1,-43115.91491,302233.6258,93630473.79,0.198333788,4175,0,1969558248,6162786.412,8.87E-10,0,100,25,77%
-28.302,120.492,AUS.WA.652962,16661,34000,17000,5000,1014,3447889353,945494802.8,2050045587,452348963.6,-22215.45211,296062.3967,93301555.51,0.197637054,4000,0,1969558248,3054036.077,5.91E-10,0,100,25,77%
-31.2864,122.838,AUS.WA.652969,17102,33000,17000,5000,1056,3513763622,910952669,2135734678,467076275.2,-22004.04768,305701.4221,94372381.37,0.199905342,3525,0,1969558248,2995149.034,9.21E-10,0,100,25,76%
-28.6691,116.3796,AUS.WA.336142,23027,6000,17000,9000,1835,2628485173,1308816524,396708357.1,922960292.6,-37258.75771,604077.5115,121534152.1,0.257441064,8025,0,1969558248,11499355.06,1.48E-09,0,100,25,53%
