FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.2787.2678817.wholerock,POINT (-21.539152 140.49689),-21.54,140.5017,AUS.QLD.333596,"Cu, Au (U)",2000
CriticalMineralDepositsGeochemistry.ga.60.7372128.wholerock,POINT (-20.571158 139.472636),-20.5711,139.472,AUS.QLD.333688,"Zn, Pb (Ag, Cu)",
CriticalMineralDepositsGeochemistry.ga.505.7373010.wholerock,POINT (-19.699174 139.357867),-19.6961,139.366,AUS.QLD.333779,Cu,
CriticalMineralDepositsGeochemistry.ga.473.7373013.wholerock,POINT (-22.0933 140.58),-22.0939,140.5736,AUS.QLD.333785,"Cu, Au",
CriticalMineralDepositsGeochemistry.ga.57.7372072.wholerock,POINT (-20.716379 139.475553),-20.7216,139.4782,AUS.QLD.333873,"Zn, Pb, Ag (Cu)",
CriticalMineralDepositsGeochemistry.ga.514.7372537.wholerock,POINT (-18.505226 144.096768),-18.5074,144.0999,AUS.QLD.334081,"Cu (Au, Ag)",
CriticalMineralDepositsGeochemistry.ga.3560.1504797.wholerock,POINT (-20.871548 139.969483),-20.8766,139.9862,AUS.QLD.334094,Cu,89
CriticalMineralDepositsGeochemistry.ga.513.7372544.4acid,POINT (-17.118643 144.404724),-17.1187,144.4047,AUS.QLD.334276,"Au, Cu (Ag, Zn, Pb)",50400
CriticalMineralDepositsGeochemistry.ga.2691.2804792.wholerock,POINT (-20.773705 140.046083),-20.7759,140.0445,AUS.QLD.334400,Cu (Au),24.2
CriticalMineralDepositsGeochemistry.AUS.QLD.334462.482,POINT (-20.72694 139.47694),-20.7216,139.4782,AUS.QLD.334462,"Cu (Au, Co)",50000.111
CriticalMineralDepositsGeochemistry.ga.3085.2804767.wholerock,POINT (-21.041936 139.899721),-21.0446,139.9062,AUS.QLD.334660,"Cu, Co",3.5
CriticalMineralDepositsGeochemistry.ga.3848.1450927.wholerock,POINT (-20.168083 139.459591),-20.1656,139.4582,AUS.QLD.334842,"U, U3O8, Cu",15
CriticalMineralDepositsGeochemistry.ga.1618.1451973.wholerock,POINT (-18.609241 143.99454),-18.609,143.993,AUS.QLD.334950,"Zn, Pb, Ag (Cu)",24
CriticalMineralDepositsGeochemistry.ga.496.7372800.wholerock,POINT (-20.71864 140.648456),-20.7187,140.6487,AUS.QLD.334977,Au (Cu),
CriticalMineralDepositsGeochemistry.ga.475.7372990.wholerock,POINT (-20.444747 140.705845),-20.4447,140.7058,AUS.QLD.334994,"Cu, Au (Mag, Fe, FeOre)",
CriticalMineralDepositsGeochemistry.ga.462.7372735.wholerock,POINT (-20.247132 140.169095),-20.2545,140.1558,AUS.QLD.335006,"Zn, Pb (Cu, Ag, Au)",
CriticalMineralDepositsGeochemistry.ga.3904.1680701.wholerock,POINT (-20.553626 139.970567),-20.5636,139.9752,AUS.QLD.335227,Cu,-1
CriticalMineralDepositsGeochemistry.AUS.QLD.335458.1118,POINT (-21.67999 140.48216),-21.6784,140.4744,AUS.QLD.335458,"Au, Cu",17
CriticalMineralDepositsGeochemistry.ga.472.7373009.ar,POINT (-20.62532 140.688482),-20.625,140.6885,AUS.QLD.335574,"Cu, Au (U, Co, Ag)",
CriticalMineralDepositsGeochemistry.ga.557.7372673.wholerock,POINT (-30.952687 121.181542),-20.7406,139.9112,AUS.QLD.335769,"Cu, Au",
CriticalMineralDepositsGeochemistry.ga.489.7372806.4acid,POINT (-21.548812 140.497295),-21.545,140.497,AUS.QLD.335859,"Cu, Au (U)",5890
