Latitude,Longitude,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total Load Served (kWh),Total CO2 emissions (tonne),System Cost ($),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Deposit_ID,Configuration_Index
-16.436,136.0985,18990.5904,21000,19000.0,71000.0,9000,2625210785.421401,1034662716.6347371,839951986.1844273,750596082.6022369,-49024.81222601239,1969558247.65,491265.136063164,586962569.8473377,140689631.38836184,0.29801737041678183,27125,0.0,129435600.98980263,2.0463630789890885e-10,0.0,100.0,25,DEP_20,20
-17.1727,137.752,19728.9844,21000,19000.0,67000.0,9000,2646701014.0324802,1075049677.535554,877806037.4059093,693845299.0910169,-44869.20263872943,1969558247.65,454121.74825507053,559644637.9606384,134141769.62533371,0.2841472896921858,27225,0.0,133165662.94075014,2.0463630789890885e-10,0.0,100.0,25,DEP_21,21
-19.4448,133.8237,15922.68528,20000,19000.0,71000.0,9000,2707602662.958324,908741729.5816454,1210695689.3768253,588165243.999853,-55511.19435647962,1969558247.65,384954.1521979038,514413365.07995594,123300241.67157559,0.261182102988695,30925,0.0,129323018.52913168,1.5916157281026244e-10,0.0,100.0,25,DEP_22,22
-19.6751,134.2835,15912.82808,21000,19000.0,67000.0,9000,2752827588.69594,916076683.6494892,1257321691.3334355,579429213.7130157,-39148.946117494896,1969558247.65,379236.42037516873,506264460.62723804,121347022.80794337,0.25704467549070614,28750,0.0,119829981.1247936,3.865352482534945e-10,0.0,100.0,25,DEP_23,23
-19.7033,134.2407,16132.41172,20000,19000.0,74000.0,9000,2732737486.8497543,930350288.98212,1212871536.6597278,589515661.2079067,-36967.28950439453,1969558247.65,385838.0002605749,517825624.73237205,124118129.51887846,0.2629146029827863,29350,0.0,126296414.97337818,6.821210263296962e-11,0.0,100.0,25,DEP_24,24
-19.4354,134.0661,16695.84232,21000,19000.0,73000.0,9000,2799299668.934003,966757808.9004527,1257321691.3334355,575220168.7001147,-38344.28453791968,1969558247.65,376481.6004142251,513969945.8300344,123193958.07867426,0.2609569665904947,28775,0.0,125343289.22216651,2.5011104298755527e-10,0.0,100.0,25,DEP_25,25
-19.7115,134.2901,16176.13658,20000,19000.0,74000.0,9000,2735553816.9839244,933586363.8819016,1212871536.6597278,589095916.442295,-37071.7971039325,1969558247.65,385563.277311482,517767998.9043552,124104317.12790395,0.26288534473257436,29300,0.0,125965404.68050425,1.5916157281026244e-10,0.0,100.0,25,DEP_26,26
-22.6513,136.268,14918.58508,22000,19000.0,64000.0,9000,2777358399.5106845,864201045.9096074,1290846111.222006,622311242.3790709,-74781.60623640695,1969558247.65,407302.7081371019,523211605.81038797,125409100.58152702,0.2656492167391666,22025,0.0,95119241.57290882,2.0463630789890885e-10,0.0,100.0,25,DEP_27,27
-13.4996,131.713,22291.94354,19000,19000.0,69000.0,9000,2657005880.118714,1169449637.3273325,637050811.3627095,850505431.428672,-62780.004956817094,1969558247.65,556655.8048700658,622020835.7269349,149092781.3626414,0.3158174359499679,26650,0.0,143237040.85943705,9.094947017729282e-11,0.0,100.0,25,DEP_28,28
-19.4387,134.0281,18040.53608,20000,19000.0,70000.0,9000,2820884105.834028,1034770134.0126563,1210695689.3768253,575418282.4445462,-61610.40289334954,1969558247.65,376611.2658599555,509274857.58003056,122068587.79245539,0.25857313851351055,27700,0.0,124561301.15774779,4.547473508864641e-11,0.0,100.0,25,DEP_29,29
-19.486,133.9023,15871.28668,20000,19000.0,68000.0,9000,2707828138.947403,907919151.6436483,1210695689.3768253,589213297.9269292,-57536.9844580021,1969558247.65,385640.1034931751,510723134.4080788,122415726.67924915,0.25930846930648216,29700,0.0,124974687.82903689,1.8189894035458565e-10,0.0,100.0,25,DEP_30,30
-12.9681,131.1124,25345.40787,18000,19000.0,84000.0,9000,2682659334.486612,1281816506.5213528,507035012.1828494,893807815.7824097,-59644.084494835675,1969558247.65,584997.2154295872,663482512.4422228,159030771.1314514,0.33686869288271326,26075,0.0,141326794.96672478,9.094947017729282e-11,0.0,100.0,25,DEP_31,31
-19.5535,134.0588,16063.66378,21000,19000.0,67000.0,9000,2746778571.8735814,918840021.5334121,1255561116.4778647,572377433.8623048,-57674.6670925702,1969558247.65,374621.03046287847,504247640.3303581,120863609.18206531,0.2560206792218543,29375,0.0,120991695.4704836,9.094947017729282e-11,0.0,100.0,25,DEP_32,32
-12.9939,130.9975,25319.51565,17000,19000.0,92000.0,9000,2669561939.437296,1281626180.0714896,483169244.5318711,904766514.8339354,-47706.79321043244,1969558247.65,592169.6839588106,675237114.6626806,161848243.21309224,0.3428368343349821,27575,0.0,152849413.0195554,9.094947017729282e-11,0.0,100.0,25,DEP_33,33
