Iteration,Objective Value,Parameters,Time (seconds)
274,0.267647539,"[30884, 35, 15718, 9175, 26610]",3215.665921
275,0.297753088,"[39634, 26, 26968, 5425, 29860]",3227.34354
276,0.256841947,"[22134, 44, 19468, 7925, 23360]",3239.838113
277,0.258454243,"[26509, 22, 17593, 8550, 21735]",3252.520943
278,0.291158594,"[44009, 40, 25093, 6050, 28235]",3265.185217
279,0.295643691,"[35259, 13, 21343, 9800, 24985]",3277.406236
280,0.24572113,"[17759, 31, 28843, 7300, 18485]",3290.136875
281,0.272871359,"[15571, 24, 22280, 5737, 25798]",3302.498045
282,0.261144019,"[33071, 42, 29780, 8237, 19298]",3315.074118
283,0.281651432,"[41821, 16, 18530, 6987, 22548]",3327.425193
284,0.278039689,"[24321, 33, 26030, 9487, 29048]",3339.960466
285,0.313837062,"[19946, 11, 27905, 8862, 27423]",3352.024553
286,0.26087888,"[37446, 29, 20405, 6362, 20923]",3364.086445
287,0.252233825,"[28696, 20, 24155, 7612, 17673]",3376.164991
288,0.259679544,"[11196, 37, 16655, 5112, 24173]",3388.411765
289,0.298475182,"[11743, 11, 18765, 7222, 21126]",3399.786813
290,0.280114451,"[29243, 28, 26265, 9722, 27626]",3411.543411
291,0.277442328,"[37993, 19, 15015, 5972, 24376]",3423.323858
292,0.240322124,"[20493, 37, 22515, 8472, 17876]",3435.559875
293,0.254572193,"[24868, 24, 28140, 7847, 19501]",3448.074897
294,0.280626525,"[42368, 41, 20640, 5347, 26001]",3460.697751
295,0.307505612,"[33618, 15, 24390, 9097, 29251]",3472.969767
296,0.251459768,"[16118, 32, 16890, 6597, 22751]",3484.971875
297,0.280541154,"[18306, 22, 25327, 5034, 26813]",3496.805248
298,0.256459368,"[35806, 39, 17827, 7534, 20313]",3508.668713
299,0.277767185,"[44556, 13, 29077, 6284, 17063]",3520.363496
300,0.261057825,"[27056, 30, 21577, 8784, 23563]",3532.489189
301,0.275949493,"[22681, 17, 15952, 9409, 25188]",3544.374576
302,0.25844372,"[40181, 35, 23452, 6909, 18688]",3556.292527
303,0.260198186,"[31431, 26, 19702, 8159, 21938]",3568.094187
304,0.277440397,"[13931, 43, 27202, 5659, 28438]",3580.177061
305,0.24206865,"[12837, 27, 18296, 9253, 18282]",3591.5926
306,0.271476457,"[30337, 44, 25796, 6753, 24782]",3603.365048
307,0.298036889,"[39087, 18, 22046, 8003, 28032]",3614.5554
308,0.256717249,"[21587, 36, 29546, 5503, 21532]",3626.066455
309,0.281874206,"[25962, 14, 23921, 6128, 23157]",3637.236538
310,0.288825467,"[43462, 31, 16421, 8628, 29657]",3648.62834
311,0.286092067,"[34712, 23, 27671, 7378, 26407]",3659.747644
312,0.244868095,"[17212, 40, 20171, 9878, 19907]",3671.057386
313,0.28597298,"[15024, 16, 26733, 8315, 23970]",3682.064935
314,0.244712047,"[32524, 34, 19233, 5815, 17470]",3693.524126
315,0.267954956,"[41274, 25, 22983, 9565, 20720]",3705.43785
316,0.264771222,"[23774, 42, 15483, 7065, 27220]",3717.6573
317,0.287671121,"[19399, 20, 21108, 6440, 28845]",3729.890203
318,0.270411166,"[36899, 38, 28608, 8940, 22345]",3742.402759
319,0.268232825,"[28149, 12, 17358, 5190, 19095]",3753.538593
320,0.276484314,"[10649, 29, 24858, 7690, 25595]",3764.643253
321,0.314919937,"[10923, 15, 17241, 5854, 27728]",3775.787462
322,0.256410138,"[28423, 33, 24741, 8354, 21228]",3787.586779
323,0.253938215,"[37173, 24, 20991, 7104, 17978]",3800.055467
324,0.2645468,"[19673, 41, 28491, 9604, 24478]",3812.432204
325,0.279041407,"[24048, 20, 22866, 8979, 26103]",3824.363399
326,0.257448465,"[41548, 37, 15366, 6479, 19603]",3836.449179
327,0.295501549,"[32798, 11, 26616, 7729, 22853]",3848.391217
328,0.278986026,"[15298, 28, 19116, 5229, 29353]",3860.909213
329,0.254234665,"[17485, 26, 27554, 6792, 20415]",3872.87285
330,0.276915898,"[34985, 44, 20054, 9292, 26915]",3885.292562
331,0.289510831,"[43735, 17, 23804, 5542, 23665]",3897.238384
332,0.236808746,"[26235, 35, 16304, 8042, 17165]",3909.522954
333,0.264956344,"[21860, 13, 21929, 8667, 18790]",3921.981133
334,0.281337722,"[39360, 31, 29429, 6167, 25290]",3934.114862
335,0.285150506,"[30610, 22, 18179, 9917, 28540]",3946.141424
336,0.256868662,"[13110, 39, 25679, 7417, 22040]",3958.374314
337,0.271786101,"[14204, 23, 20522, 7573, 24884]",3970.585234
338,0.255126959,"[31704, 40, 28022, 5073, 18384]",3983.355964
339,0.280192632,"[40454, 14, 16772, 8823, 21634]",3995.310165
340,0.274201672,"[22954, 32, 24272, 6323, 28134]",4007.638504
341,0.300422466,"[27329, 19, 29897, 6948, 29759]",4019.604308
342,0.275596184,"[44829, 36, 22397, 9448, 23259]",4031.867904
343,0.261744069,"[36079, 27, 26147, 5698, 20009]",4044.540883
344,0.26414736,"[18579, 45, 18647, 8198, 26509]",4056.937696
345,0.268627895,"[16392, 12, 25210, 9761, 17571]",4068.87469
346,0.265796979,"[33892, 29, 17710, 7261, 24071]",4081.030074
