Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-31.9665,141.465,AUS.NSW.335554,22926,6000,17000,9000,1815,2561623582,1237095762,370300597.9,954227222,-17923.16342,624541.7168,0.317,55%,124586076.3,0.263905836,45475,2.01E-09,1969558248,38085035.57,0,1.02E-16,100,25,63%,
-32.0637,146.3085,AUS.NSW.335658,16530,34000,17000,5000,7019,3097665743,844297575.3,1680933383,572434784.3,-43535.12887,374658.5663,0.190,73%,106175676.5,0.224907803,9900,1.61E-09,1969558248,16006379.74,0,8.20E-17,100,25,82%,
-33.4574,148.9957,AUS.NSW.335835,24838,24000,17000,5000,1755,2599589445,1134584262,561956762.5,903048421.2,-20281.69633,591045.1917,0.300,57%,134892275.2,0.285737057,23350,2.09E-09,1969558248,18229471.8,0,1.06E-16,100,25,65%,
-29.72,135.5749,AUS.SA.333675,17883,31000,17000,5000,7098,3333215666,989659885.2,1815379185,528176595.9,-39401.28244,345691.582,0.176,75%,98683506.3,0.209037431,10125,1.00E-09,1969558248,15907848.91,0,5.08E-17,100,25,84%,
-31.1051,137.1544,AUS.SA.335512,23013,6000,17000,9000,1669,2586907175,1263441604,370730833.2,952734737.1,-16630.61352,623564.8854,0.317,55%,124067605.8,0.262807581,44425,1.32E-09,1969558248,35220589.06,0,6.70E-17,100,25,63%,
-30.4374,136.8893,AUS.SA.335647,22527,6000,17000,9000,1696,2561508603,1241949862,359224935.7,960333805.3,-16967.77187,628538.4755,0.319,54%,124371287.2,0.263450857,44850,1.75E-09,1969558248,35183950.09,0,8.89E-17,100,25,63%,
-20.8684,116.8655,AUS.WA.335166,18082,28000,17000,5000,1006,2963021191,1074432074,1293654749,594934367.6,-9048.858038,389384.5436,0.198,72%,103029303,0.218242963,23675,1.00E-09,1969558248,15103869.12,0,5.08E-17,100,25,80%,
-21.2035,119.2383,AUS.WA.335341,19662,26000,17000,5000,1000,3060740791,1147527978,1296783160,616429654.1,-9144.281456,403453.2086,0.205,71%,103587943.4,0.219426309,23500,8.87E-10,1969558248,14916462.92,0,4.50E-17,100,25,80%,
-27.3105,120.5528,AUS.WA.335342,16497,33000,17000,5000,1009,3341458113,938639930.1,1946292734,456525448.6,-9153.144464,298795.9061,0.152,78%,93029353.36,0.197060458,19625,6.59E-10,1969558248,13795925.02,0,3.35E-17,100,25,86%,
-35.5901,149.4372,AUS.NSW.335061,29463,9000,17000,5000,2814,2548559347,1271078394,187339886.4,1090141067,-30964.81401,713497.3281,0.362,48%,141810985.7,0.300392692,24100,1.40E-09,1969558248,18049344.16,0,7.10E-17,100,25,57%,
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105468,1229868743,353723981.9,984512742.5,-21304.79201,644363.59,0.327,53%,127447864.2,0.26996785,30575,2.21E-09,1969558248,20424291.08,0,1.12E-16,100,25,62%,
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773,1166826652,325437063.1,1010382058,-19945.78041,661295.0569,0.336,52%,131904768.8,0.279408738,44675,2.27E-09,1969558248,36084261.86,0,1.15E-16,100,25,60%,
-19.7162,134.2817,AUS.NT.463918,18502,33000,17000,5000,1028,3389790907,1067819908,1868994679,452976319.9,-8692.605765,296473.0014,0.151,79%,92932860.5,0.196856061,19425,7.73E-10,1969558248,13180875.76,0,3.93E-17,100,25,87%,
-21.5127,134.1564,AUS.NT.597284,16134,32000,17000,5000,1447,3310417720,926578114.6,1909939633,473899972.9,-14073.18129,310167.5323,0.157,78%,93708543.46,0.19849916,15250,8.87E-10,1969558248,14474603.32,0,4.50E-17,100,25,86%,
-20.7434,139.4783,AUS.QLD.333400,21174,6000,17000,9000,1810,2524030127,1210935376,339835232,973259518.5,-17566.92744,636998.3549,0.323,54%,124254928.5,0.263204379,42100,2.27E-09,1969558248,34628368.11,0,1.15E-16,100,25,61%,
-23.6356,150.375,AUS.QLD.333486,18434,34000,17000,5000,6606,2997896011,957074817.6,1499712528,541108665.5,-41728.57053,354155.6216,0.180,74%,103956377.2,0.220206748,8525,8.64E-10,1969558248,17930058.04,0,4.39E-17,100,25,82%,
-21.54,140.5017,AUS.QLD.333596,21291,6000,17000,9000,1827,2545493789,1224793868,353953104.5,966746816.5,-17712.29154,632735.7914,0.321,54%,123688424.4,0.262004375,44350,2.17E-09,1969558248,35237302.22,0,1.10E-16,100,25,62%,
-20.5711,139.472,AUS.QLD.333688,17053,31000,17000,5000,1058,3151690676,978745370.3,1601748220,571197085.9,-10305.66132,373848.4927,0.190,73%,102690675.3,0.217525661,22425,5.46E-10,1969558248,16212464.54,0,2.77E-17,100,25,82%,
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466,1315969640,147833082.3,1082184744,-15994.3102,708289.9148,0.360,49%,135877660.1,0.287824359,49050,1.32E-09,1969558248,34917685.16,0,6.70E-17,100,25,57%,
-19.6671,134.22,AUS.NT.336129,17716,33000,17000,5000,5929,3345909093,1019039450,1868994679,457874964.8,-39610.96094,299679.1644,0.152,78%,93287026.32,0.197606277,7750,1.07E-09,1969558248,13965409.73,0,5.43E-17,100,25,86%,
-22.6868,136.2415,AUS.NT.336208,15913,33000,17000,5000,1000,3285334553,918183341.4,1866190619,500960592.7,-8626.145857,327878.7079,0.166,76%,97735436.38,0.207029171,24175,8.41E-10,1969558248,16248291.48,0,4.27E-17,100,25,85%,
-20.7759,140.0445,AUS.QLD.334400,22849,6000,17000,9000,1765,2622728505,1312965815,343672102.8,966090588,-16576.06487,632306.2898,0.321,54%,124236309.6,0.263164939,43500,2.30E-09,1969558248,33853387.63,0,1.17E-16,100,25,63%,
-20.7216,139.4782,AUS.QLD.334462,16550,31000,17000,5000,5315,3116902914,939034957.7,1601748220,576119736.2,-43124.537,377070.3674,0.191,73%,103012091.7,0.218206505,10225,1.02E-09,1969558248,16940025.33,0,5.19E-17,100,25,82%,
-21.0446,139.9062,AUS.QLD.334660,16840,31000,17000,5000,6171,3151472965,957937020.9,1626458328,567077615.3,-42242.9791,371152.2992,0.188,73%,102408617.1,0.216928188,10525,1.36E-09,1969558248,16404355.24,0,6.93E-17,100,25,82%,
-19.7033,134.2407,AUS.NT.334173,20118,7000,17000,5000,1587,2495273007,1160196248,444416342,890660416.5,-17912.12612,582937.2426,0.296,58%,117375003.2,0.248630901,28875,2.39E-09,1969558248,22676955.44,0,1.21E-16,100,25,64%,
-19.4354,134.0661,AUS.NT.334279,18427,33000,17000,5000,6924,3389597249,1066998297,1868994679,453604273.6,-39693.46642,296883.997,0.151,79%,93073052.42,0.197153024,7725,1.00E-09,1969558248,13744835.13,0,5.08E-17,100,25,87%,
-19.7115,134.2901,AUS.NT.334637,18502,33000,17000,5000,1028,3389790907,1067819908,1868994679,452976319.9,-8692.605765,296473.0014,0.151,79%,92932860.5,0.196856061,19425,7.73E-10,1969558248,13180875.76,0,3.93E-17,100,25,87%,
