UID,DEPOSIT_LATITUDE_WGS84,DEPOSIT_LONGITUDE_WGS84,Architecture/PV (kW),Architecture/Wind 1MW,Architecture/Gen (kW),Architecture/Battery 1MWh (#),Architecture/Converter (kW),Cost/NPC ($),Cost/LCOE ($/kWh),Cost/Operating cost ($/yr),Cost/CAPEX ($),System/Ren Frac (%),Total Load Served (kWh),Ren Frac (%),System/Total Fuel (L/yr),Project Economics/IRR (%),Project Economics/Simple Payback (yr),Gen/Hours,Gen/Production (kWh/yr),Gen/Fuel (L/yr),Annual Carbon Emission (tonne/yr),Total Carbon Emission (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),Gen/O&M Cost ($/yr),Gen/Fuel Cost ($/yr),PV/CAPEX,PV/Energy Production (kWh/yr),Wind 1MW/Capital Cost ($),Wind 1MW/Production (kWh/yr),Wind 1MW/O&M Cost ($),Battery 1MWh/Auxiliary Load Percent (%),Battery 1MWh/Autonomy (hr),Battery 1MWh/Annual Throughput (kWh/yr),Battery 1MWh/Nominal Capacity (kWh),Battery 1MWh/Accessible Capacity (kWh),Converter/Rectifier Mean Output (kW),Converter/Inverter Mean Output (kW),Specific Carbon Emission_DG (kg/kWh)
AUS.SA.333599.csv,-35.0919,139.0054,12336.03896,24,19000,53,13036.65778,271551400,0.2666295,10548690,135183100,80.94073,1969558248,80.94%,4183723,20.18498,4.780556,2298,15015340,4183723,10952.98681,273824.6704,0.139,80%,1309860,5020468,24672080,18073320,60000000,88974020,960000,0,4.714561,13077650,53000.01,42400.01,999.9095,1885.872,
AUS.SA.333675.csv,-29.72,135.5749,13894.78337,22,19000,61,14154.38706,266182800,0.2613582,9819902,139235900,82.99131,1969558248,82.99%,3736173,20.07745,4.820225,2060,13399840,3736173,9781.300914,244532.5229,0.124,82%,1174200,4483408,27789570,24317510,55000000,81311620,880000,0,5.426192,14403390,61000.01,48800.01,919.7963,2194.985,
AUS.SA.335512.csv,-31.1051,137.1544,14759.28328,22,19000,59,13814.36131,274333900,0.2693615,10432860,139462900,81.43768,1969558248,81.44%,4074613,19.54517,4.936742,2238,14623830,4074613,10667.33683,266683.4209,0.135,81%,1275660,4889535,29518570,25010900,55000000,77746030,880000,0,5.248284,14212880,59000.01,47200.01,864.4581,2212.321,
AUS.SA.335647.csv,-30.4374,136.8893,14164.69687,23,19000,62,14426.41667,271101600,0.2661878,9904786,143057300,82.88947,1969558248,82.89%,3755386,19.38412,5.002255,2061,13480080,3755386,9831.600548,245790.0137,0.125,82%,1174770,4506463,28329390,24701510,57500000,82300680,920000,0,5.515146,14540360,62000.01,49600.01,919.5536,2228.015,
AUS.SA.336892.csv,-33.9763,137.689,11264.24256,23,19000,58,12984.03314,258592700,0.2539057,9635961,134023700,83.209,1969558248,83.21%,3693753,21.07859,4.579152,2053,13228350,3693753,9670.245354,241756.1339,0.123,82%,1170210,4432503,22528490,17708850,57500000,91074210,920000,0,5.15933,13551810,58000.01,46400.01,1054.261,1908.752,
AUS.SA.337525.csv,-34.0407,137.6207,11396.11,22,19000,56,13914.74786,249078600,0.244564,9159685,130666600,84.12536,1969558248,84.13%,3489392,22.07305,4.362772,1931,12506410,3489392,9135.228256,228380.7064,0.116,83%,1100670,4187271,22792220,18474720,55000000,91491180,880000,0,4.981422,13219520,56000.01,44800.01,1014.109,1877.909,
AUS.SA.529299.csv,-34.5375,137.8722,9743.093869,22,19000,54,13916.71732,241720800,0.2373396,8954513,125961200,84.47117,1969558248,84.47%,3413397,23.17113,4.135056,1889,12233970,3413397,8936.273346,223406.8337,0.113,84%,1076730,4096077,19486190,15889730,55000000,95285250,880000,0,4.803514,12888470,54000.01,43200.01,1061.603,1766.714,
AUS.TAS.333591.csv,-41.603,145.6999,19743.02812,25,19000,61,13506.75168,354268600,0.3478474,15163820,158238100,69.93416,1969558248,69.93%,6564091,13.32442,6.64972,3497,23686570,6564091,17184.79024,429619.756,0.218,69%,1993290,7876910,39486060,23586890,62500000,56032570,1000000,0,5.426192,14573410,61000.01,48800.01,796.1093,2399.327,
AUS.TAS.333707.csv,-41.477,145.385,15529.3955,26,19000,61,13160.14472,333686800,0.3276386,14038270,152206800,72.71917,1969558248,72.72%,5961891,14.85682,6.23566,3194,21492480,5961891,15608.23064,390205.766,0.198,72%,1820580,7154269,31058790,18514280,65000000,67560900,1040000,0,5.426192,14400780,61000.01,48800.01,994.9109,2177.37,
AUS.TAS.333876.csv,-41.7723,145.5431,19375.72912,27,19000,66,13922.43645,354065100,0.3476475,14537740,166128200,71.93147,1969558248,71.93%,6125330,12.95063,6.800373,3255,22113040,6125330,16036.11394,400902.8485,0.204,71%,1855350,7350396,38751460,23202850,67500000,60515180,1080000,0,5.870962,15416050,66000.02,52800.01,895.445,2460.224,
